StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1
2018-05-09 16:10:11,2018-05-09 16:11:37,IP Address,73.44.28.152,100,85,True,2018-05-09 16:11:37,R_2dRVEh0faaKa1ZB,,,test@test.com,,41.801406860352,-87.60050201416,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,cow,cracker,dog,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,juice,leg,leopard,light,lips,meat,milk,mittens,napkin,necklace,nose,nuts,oven,owl,peacock,peas,plate,raccoon,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-05-09 10:25:00,2018-05-10 09:16:59,IP Address,99.203.143.113,100,82318,True,2018-05-10 09:16:59,R_sNkEGSOZXUR5XNL,,,test@test.com,,41.849304199219,-87.67310333252,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,game,glasses,gloves,grapes,hammer,hand,hat,horse,jacket,juice,leg,light,lips,meat,milk,mittens,mop,napkin,necklace,nose,owl,party,peas,person,plate,rain,refrigerator,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-05-15 08:38:05,2018-05-15 09:07:45,IP Address,128.135.98.190,100,1779,True,2018-05-15 09:07:45,R_1rBQRoml1fbXpmh,,,test@test.com,,41.780395507812,-87.602699279785,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,leopard,light,lips,lobster,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,party,peas,plate,raccoon,radio,rain,refrigerator,rhinoceros,shoe,sky,squirrel,stairs,star,swan,towel,trash,tree,water,window"
2018-05-16 10:49:45,2018-05-16 10:52:22,IP Address,128.135.98.160,100,156,True,2018-05-16 10:52:23,R_2WZvp8X9hnbcN21,,,test@test.com,,41.780395507812,-87.602699279785,gl,EN,"airplane,ankle,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,comb,cow,cracker,dog,doll,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,light,lips,meat,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,party,peas,person,plate,raccoon,radio,rain,refrigerator,rhinoceros,school,shoe,squirrel,stairs,star,towel,trash,tree,water,window"
2018-05-23 11:09:49,2018-05-23 11:11:54,IP Address,172.56.12.37,100,124,True,2018-05-23 11:11:55,R_32RY6CuloTDgKIK,,,test@test.com,,37.751007080078,-97.821998596191,gl,EN,"airplane,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,chin,cow,cracker,dog,doll,door,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,gloves,hand,hat,helicopter,horse,jeans,juice,leg,light,lips,meat,milk,mop,napkin,nose,nuts,oven,owl,peas,person,plate,rain,school,shoe,sky,squirrel,stairs,star,towel,tree,water,window"
2018-05-25 08:07:58,2018-05-29 11:24:40,IP Address,73.51.162.125,100,357402,True,2018-05-29 11:24:41,R_8qNogHp2UbFeUMx,,,test@test.com,,41.740295410156,-87.653999328613,gl,EN,"applesauce,arm,ball,bed,bird,book,broom,candy,cat,car,comb,cracker,dog,door,ear,egg,eye,finger,firetruck,fish,fork,game,grapes,hand,hat,jacket,juice,leg,light,meat,milk,mop,nose,plate,refrigerator,shoe,stairs,tree,water"
2018-05-30 19:00:38,2018-05-30 19:05:07,IP Address,24.12.97.218,100,268,True,2018-05-30 19:05:08,R_2rYo1RJEzsRHfTm,,,test@test.com,,41.748001098633,-87.712097167969,gl,EN,"airplane,ankle,ant,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,chin,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,friend,game,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,light,lips,lobster,meat,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,party,peacock,peas,person,plate,raccoon,radio,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-06-18 11:50:50,2018-06-18 11:54:31,IP Address,76.243.192.231,100,220,True,2018-06-18 11:54:31,R_Dqv1cg3KNA6FgWZ,,,test@test.com,,41.872497558594,-87.78929901123,gl,EN,"bird,boat,cat,car,ear,eye,fish,hand,horse,juice,lips,napkin,nose"
2018-06-27 09:53:36,2018-06-27 11:57:43,IP Address,73.168.175.73,100,7447,True,2018-06-27 11:57:44,R_293WxZMIFCdSLyv,,,test@test.com,,41.696594238281,-87.663696289062,gl,EN,"airplane,ant,ball,bed,bird,boat,book,broom,candy,cat,car,cracker,dog,door,duck,ear,egg,elephant,eye,finger,firetruck,fish,game,hat,helicopter,horse,jacket,juice,leg,light,lips,milk,napkin,nose,oven,owl,party,plate,radio,rain,refrigerator,school,shoe,stairs,star,trash,tree,water,window"
2018-06-27 14:27:08,2018-06-27 14:30:08,IP Address,73.208.237.137,100,180,True,2018-06-27 14:30:09,R_z74WXImQjdzlVQZ,,,test@test.com,,41.946304321289,-87.812698364258,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,door,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,game,glasses,grapes,hand,hat,helicopter,horse,jacket,jeans,juice,leg,light,lips,milk,mittens,napkin,necklace,nose,nuts,oven,owl,peacock,peas,plate,raccoon,rain,refrigerator,rhinoceros,shoe,sky,squirrel,stairs,star,swan,towel,trash,tree,water,window"
2018-06-28 10:04:49,2018-06-28 10:06:50,IP Address,73.9.100.45,100,121,True,2018-06-28 10:06:51,R_3qffjpq3O11PUvK,,,test@test.com,,41.801406860352,-87.60050201416,gl,EN,"airplane,ankle,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,game,glasses,grapes,hammer,hand,hat,horse,jacket,jeans,juice,leg,light,lips,meat,milk,mittens,necklace,nose,nuts,oven,owl,party,peas,person,plate,raccoon,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-07-03 10:11:08,2018-07-03 10:39:58,IP Address,69.47.208.153,100,1730,True,2018-07-03 10:39:58,R_PwJ02Q9TcRCneUh,,,test@test.com,,41.748001098633,-87.712097167969,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,game,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,leopard,light,lips,lobster,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,peas,person,plate,raccoon,radio,rain,refrigerator,rhinoceros,shoe,sky,squirrel,stairs,star,swan,towel,trash,tree,water,window"
2018-07-03 10:17:33,2018-07-03 18:01:45,IP Address,174.221.3.8,100,27852,True,2018-07-03 18:01:45,R_1IL6Bc7udwPjaax,,,test@test.com,,41.785293579102,-87.773399353027,gl,EN,"airplane,applesauce,arm,ball,bed,bird,book,candy,cat,car,chin,comb,cow,cracker,dog,doll,door,dress,duck,ear,egg,elephant,eye,finger,fish,fork,friend,gloves,grapes,hammer,hand,hat,horse,juice,leg,light,lips,milk,napkin,necklace,nose,oven,party,plate,rain,refrigerator,shoe,stairs,towel,trash,water"
2018-07-06 15:22:49,2018-07-06 15:25:55,IP Address,136.30.45.68,100,186,True,2018-07-06 15:25:56,R_3JeiDleid8hiySg,,,test@test.com,,41.863204956055,-87.61979675293,gl,EN,"airplane,ankle,ant,applesauce,arm,ball,bear,bed,bird,boat,book,cat,car,chin,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,glasses,gloves,grapes,hand,hat,helicopter,horse,jacket,juice,leg,leopard,light,lips,meat,milk,napkin,nose,nuts,oven,owl,party,peas,person,plate,raccoon,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-07-13 12:19:46,2018-07-13 15:42:58,IP Address,107.77.192.64,100,12192,True,2018-07-13 15:42:59,R_1jqrEkezw9vxaLD,,,test@test.com,,37.751007080078,-97.821998596191,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,cat,car,chin,cow,cracker,dog,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,friend,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,leopard,light,lips,lobster,meat,milk,mittens,mop,napkin,nose,nuts,oven,owl,party,peas,person,plate,raccoon,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-07-24 10:31:00,2018-07-24 10:32:51,IP Address,64.107.3.74,100,110,True,2018-07-24 10:32:51,R_1EZFnUtIOJi61KO,,,test@test.com,,41.880798339844,-87.723197937012,gl,EN,"airplane,applesauce,arm,ball,bear,bed,bird,boat,book,cat,car,comb,cow,cracker,dog,doll,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,glasses,grapes,hand,hat,helicopter,horse,jacket,juice,leg,light,milk,napkin,necklace,nose,owl,peacock,peas,person,plate,rain,school,shoe,sky,stairs,star,trash,tree,water"
2018-07-24 09:47:37,2018-07-24 14:31:51,IP Address,128.135.98.247,100,17054,True,2018-07-24 14:31:52,R_XNVO5A3znn3dND3,,,test@test.com,,41.780395507812,-87.602699279785,gl,EN,"airplane,applesauce,arm,ball,bear,bed,bird,boat,book,broom,cat,car,chin,comb,cow,cracker,dog,door,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,glasses,gloves,grapes,hand,hat,helicopter,horse,jacket,juice,leg,light,lips,milk,mop,napkin,nose,owl,plate,rain,refrigerator,shoe,sky,stairs,star,towel,trash,tree,water,window"
2018-07-24 14:33:41,2018-07-26 14:14:24,IP Address,174.221.140.112,100,171643,True,2018-07-26 14:14:25,R_Wd3JBpjSteOUiSB,,,test@test.com,,41.946304321289,-87.812698364258,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,friend,game,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,leopard,light,lips,lobster,meat,milk,mittens,napkin,necklace,nose,nuts,oven,owl,party,peacock,peas,person,plate,raccoon,radio,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,tree,water,window"
2018-07-27 18:47:45,2018-07-27 18:49:47,IP Address,12.159.255.58,100,122,True,2018-07-27 18:49:48,R_spRdQnhdvxmDPlT,,,test@test.com,,41.947402954102,-87.70369720459,gl,EN,"ankle,applesauce,arm,ball,bear,bed,bird,book,broom,cat,car,chin,cow,cracker,dog,doll,door,dress,duck,ear,egg,eye,finger,firetruck,fork,friend,glasses,grapes,hand,hat,horse,jacket,jeans,leg,light,lips,nose,owl,refrigerator,shoe,towel,trash,tree,water,window"
2018-07-27 14:38:42,2018-07-29 17:38:07,IP Address,108.192.39.7,100,183564,True,2018-07-29 17:38:07,R_UhVKSDeWxmkUJ2N,,,test@test.com,,41.696594238281,-87.663696289062,gl,EN,"ball,bed,book,candy,cat,car,cracker,dog,door,ear,egg,eye,finger,fish,grapes,hand,hat,juice,meat,nose,refrigerator,shoe"
2018-08-03 09:49:47,2018-08-03 09:51:10,IP Address,107.77.208.172,100,83,True,2018-08-03 09:51:11,R_vdf89bDEb9cwBe9,,,test@test.com,,40.109497070312,-88.212303161621,gl,EN,"airplane,ankle,ant,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,chin,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,flag,fork,game,glasses,gloves,grapes,hand,hat,helicopter,horse,jacket,jeans,juice,leg,leopard,light,lips,lobster,meat,milk,mittens,mop,napkin,necklace,nose,nuts,oven,owl,party,peacock,peas,person,plate,raccoon,radio,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-08-09 12:09:34,2018-08-09 16:47:37,IP Address,204.14.236.152,100,16682,True,2018-08-09 16:47:37,R_22zcp8UjAI7MxJU,,,test@test.com,,37.751007080078,-97.821998596191,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bird,boat,book,broom,cat,car,chin,cow,cracker,dog,doll,door,dress,duck,ear,elephant,eye,finger,firetruck,fish,fork,glasses,grapes,hand,hat,horse,jacket,juice,leg,light,lips,milk,napkin,necklace,nose,owl,peas,plate,rain,refrigerator,rhinoceros,shoe,squirrel,stairs,tree,water,window"
2018-08-09 12:09:30,2018-08-10 08:09:00,IP Address,24.1.36.54,100,71969,True,2018-08-10 08:09:00,R_DvGBJXyiOBY6CGJ,,,test@test.com,,41.928802490234,-87.631500244141,gl,EN,"airplane,applesauce,arm,ball,bear,bed,bird,boat,book,cat,car,chin,comb,cow,cracker,dog,door,ear,elephant,eye,finger,firetruck,fish,fork,glasses,hat,helicopter,horse,jacket,juice,leg,milk,nose,plate,rain,school,shoe,stairs,towel,trash,water,window"
2018-08-10 14:24:38,2018-08-10 14:27:34,IP Address,107.210.254.75,100,176,True,2018-08-10 14:27:34,R_3j7hcvh0fRcywr2,,,test@test.com,,41.780395507812,-87.602699279785,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bench,bird,boat,book,broom,cat,car,chin,comb,cow,cracker,dog,doll,donkey,door,dress,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,glasses,gloves,grapes,hammer,hand,hat,helicopter,horse,jacket,jeans,juice,leg,light,lips,meat,milk,mittens,napkin,nose,nuts,oven,owl,party,peacock,peas,person,plate,raccoon,rain,refrigerator,rhinoceros,school,shoe,sky,squirrel,stairs,star,towel,tree,water,window"
2018-08-15 10:41:48,2018-08-15 10:45:15,IP Address,174.221.10.243,100,206,True,2018-08-15 10:45:15,R_1PaZ3LlJ5Y8EKMt,,,test@test.com,,41.922393798828,-87.652397155762,gl,EN,"ant,ball,bear,bed,bird,book,candy,cat,car,dog,door,dress,egg,eye,friend,game,grapes,hand,juice,light,milk,shoe,water"
2018-08-15 12:52:38,2018-08-15 12:55:53,IP Address,174.221.10.243,100,194,True,2018-08-15 12:55:53,R_1F8QBpEQSo6OsDd,,,test@test.com,,41.922393798828,-87.652397155762,gl,EN,"airplane,applesauce,arm,ball,bear,bed,boat,book,broom,candy,cat,car,chin,cow,cracker,dog,door,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,game,glasses,grapes,hand,hat,horse,juice,leg,light,lips,lobster,milk,nose,oven,owl,party,person,rain,refrigerator,school,shoe,sky,stairs,towel,trash,tree,water,window"
2018-08-23 08:59:36,2018-08-23 09:02:24,IP Address,173.165.65.9,100,168,True,2018-08-23 09:02:24,R_1FbVDu0fQvUzsbS,,,test@test.com,,41.848297119141,-87.651702880859,gl,EN,"airplane,ankle,ant,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,chin,cow,cracker,dog,doll,door,dress,duck,ear,egg,elephant,eye,finger,fish,fork,game,glasses,gloves,grapes,hand,hat,horse,jacket,jeans,juice,leg,lips,milk,necklace,nose,nuts,oven,owl,plate,rain,refrigerator,rhinoceros,school,shoe,stairs,towel,trash,tree,water,window"
2018-08-27 14:52:04,2018-08-27 14:55:02,IP Address,107.77.208.200,100,178,True,2018-08-27 14:55:02,R_2aUFtZSeMIZ7QVS,,,test@test.com,,42.128692626953,-88.265403747559,gl,EN,"airplane,arm,ball,bear,bed,bird,boat,book,broom,cat,car,comb,cow,cracker,dog,door,duck,ear,egg,elephant,eye,finger,firetruck,fish,fork,friend,game,glasses,grapes,hammer,hand,hat,horse,jacket,jeans,juice,leg,light,lips,milk,napkin,nose,owl,party,person,plate,rain,school,shoe,sky,stairs,star,towel,trash,tree,water,window"
2018-08-29 22:31:06,2018-08-29 22:34:17,IP Address,162.202.53.252,100,191,True,2018-08-29 22:34:17,R_eo0iQL9oEktEtIR,,,test@test.com,,41.774200439453,-87.715301513672,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bird,boat,book,candy,cat,car,comb,cow,cracker,dog,donkey,door,dress,duck,ear,egg,eye,finger,firetruck,fish,flag,fork,friend,game,glasses,grapes,hand,hat,helicopter,horse,jacket,juice,leg,leopard,light,lips,milk,mittens,mop,nose,nuts,owl,peas,plate,raccoon,radio,rain,refrigerator,rhinoceros,shoe,sky,squirrel,stairs,star,towel,trash,tree,water,window"
2018-08-31 10:00:08,2018-09-02 09:34:58,IP Address,174.221.136.69,100,171290,True,2018-09-02 09:34:59,R_1dp1QSchFlKoHqE,,,test@test.com,,41.880798339844,-87.723197937012,gl,EN,window
2018-09-10 09:47:57,2018-09-10 09:57:29,IP Address,67.184.115.164,100,571,True,2018-09-10 09:57:29,R_2P0hYl6SUSSAPxL,,,test@test.com,,41.947402954102,-87.70369720459,gl,EN,"airplane,ant,applesauce,arm,ball,bear,bed,bird,boat,book,broom,candy,cat,car,cow,cracker,dog,door,duck,ear,egg,eye,finger,firetruck,fish,game,glasses,hand,hat,juice,light,lips,milk,nose,owl,plate,rain,refrigerator,school,shoe,squirrel,stairs,star,towel,trash,tree,water,window"
